======================================
First 2 Excitation States
======================================
Init Jacobian = 
[0.99310585]
Wavefunction (Initialization)
Figure Saved.
Thermalization...
After Thermalization:	pmove 0.49	step_size=1.3566	time=86.54s
After MCMC, with initial network, loss=8.72
Iter:64, LossE=2.66211(0.01900)	 pmove=0.52	stepsize=0.9951	 time=1.46s
Iter:65, LossE=2.66714(0.01921)	 pmove=0.52	stepsize=0.9934	 time=1.46s
Iter:66, LossE=2.61172(0.01698)	 pmove=0.52	stepsize=0.9918	 time=1.46s
Iter:67, LossE=2.59041(0.01699)	 pmove=0.52	stepsize=0.9901	 time=1.46s
Iter:68, LossE=2.57990(0.01654)	 pmove=0.52	stepsize=0.9884	 time=1.46s
Iter:69, LossE=2.57716(0.01714)	 pmove=0.52	stepsize=0.9868	 time=1.46s
Iter:70, LossE=2.58322(0.01647)	 pmove=0.51	stepsize=0.9851	 time=1.46s
Iter:71, LossE=2.59023(0.01558)	 pmove=0.51	stepsize=0.9835	 time=1.46s
Iter:72, LossE=2.57843(0.01611)	 pmove=0.51	stepsize=0.9818	 time=1.46s
Iter:73, LossE=2.58687(0.01593)	 pmove=0.51	stepsize=0.9802	 time=1.46s
Iter:74, LossE=2.58134(0.01602)	 pmove=0.51	stepsize=0.9785	 time=1.46s
Iter:75, LossE=2.55734(0.01514)	 pmove=0.51	stepsize=0.9769	 time=1.46s
Iter:76, LossE=2.58293(0.01566)	 pmove=0.51	stepsize=0.9752	 time=1.46s
Iter:77, LossE=2.61946(0.01592)	 pmove=0.51	stepsize=0.9736	 time=1.46s
Iter:78, LossE=2.58423(0.01481)	 pmove=0.51	stepsize=0.9720	 time=1.46s
Iter:79, LossE=2.61202(0.01588)	 pmove=0.51	stepsize=0.9703	 time=1.46s
Iter:80, LossE=2.57166(0.01387)	 pmove=0.51	stepsize=0.9687	 time=1.46s
Iter:81, LossE=2.59538(0.01479)	 pmove=0.51	stepsize=0.9671	 time=1.46s
Iter:82, LossE=2.58843(0.01510)	 pmove=0.51	stepsize=0.9655	 time=1.46s
Iter:83, LossE=2.57959(0.01574)	 pmove=0.51	stepsize=0.9638	 time=1.46s
Iter:84, LossE=2.56673(0.01496)	 pmove=0.51	stepsize=0.9622	 time=1.46s
Iter:85, LossE=2.56239(0.01571)	 pmove=0.51	stepsize=0.9606	 time=1.46s
Iter:86, LossE=2.56801(0.01461)	 pmove=0.51	stepsize=0.9590	 time=1.46s
Iter:87, LossE=2.58540(0.01565)	 pmove=0.52	stepsize=0.9574	 time=1.46s
Iter:88, LossE=2.54461(0.01439)	 pmove=0.52	stepsize=0.9558	 time=1.46s
Iter:89, LossE=2.53690(0.01415)	 pmove=0.51	stepsize=0.9542	 time=1.46s
Iter:90, LossE=2.52836(0.01525)	 pmove=0.52	stepsize=0.9526	 time=1.46s
Iter:91, LossE=2.52390(0.01417)	 pmove=0.51	stepsize=0.9510	 time=1.46s
Iter:92, LossE=2.51689(0.01399)	 pmove=0.52	stepsize=0.9494	 time=1.46s
Iter:93, LossE=2.53646(0.01527)	 pmove=0.52	stepsize=0.9478	 time=1.46s
Iter:94, LossE=2.51857(0.01474)	 pmove=0.52	stepsize=0.9462	 time=1.46s
Iter:95, LossE=2.52415(0.01436)	 pmove=0.52	stepsize=0.9446	 time=1.46s
Iter:96, LossE=2.50960(0.01446)	 pmove=0.52	stepsize=0.9430	 time=1.46s
Iter:97, LossE=2.50368(0.01480)	 pmove=0.52	stepsize=0.9414	 time=1.46s
Iter:98, LossE=2.50485(0.01497)	 pmove=0.47	stepsize=0.9398	 time=1.46s
Iter:99, LossE=2.46876(0.01351)	 pmove=0.52	stepsize=0.9383	 time=1.46s
Iter:100, LossE=2.49798(0.01510)	 pmove=0.48	stepsize=0.9367	 time=1.46s
Iter:101, LossE=2.47209(0.01455)	 pmove=0.53	stepsize=0.9351	 time=1.46s
Iter:102, LossE=2.47496(0.01507)	 pmove=0.48	stepsize=0.9336	 time=1.46s
Iter:103, LossE=2.46059(0.01492)	 pmove=0.48	stepsize=0.9320	 time=1.46s
Iter:104, LossE=2.47633(0.01507)	 pmove=0.48	stepsize=0.9304	 time=1.46s
Iter:105, LossE=2.44045(0.01400)	 pmove=0.48	stepsize=0.9289	 time=1.46s
Iter:106, LossE=2.46299(0.01410)	 pmove=0.48	stepsize=0.9273	 time=1.46s
Iter:107, LossE=2.43518(0.01342)	 pmove=0.48	stepsize=0.9257	 time=1.46s
Iter:108, LossE=2.44993(0.01421)	 pmove=0.48	stepsize=0.9242	 time=1.46s
Iter:109, LossE=2.46976(0.01471)	 pmove=0.48	stepsize=0.9226	 time=1.46s
Iter:110, LossE=2.46092(0.01451)	 pmove=0.48	stepsize=0.9211	 time=1.46s
Iter:111, LossE=2.46941(0.01527)	 pmove=0.48	stepsize=0.9195	 time=1.46s
Iter:112, LossE=2.43708(0.01392)	 pmove=0.49	stepsize=0.9180	 time=1.46s
Iter:113, LossE=2.43473(0.01466)	 pmove=0.48	stepsize=0.9165	 time=1.46s
Iter:114, LossE=2.42628(0.01319)	 pmove=0.49	stepsize=0.9149	 time=1.46s
Iter:115, LossE=2.42238(0.01366)	 pmove=0.48	stepsize=0.9134	 time=1.46s
